Title,Link,Time
英文派遣书模板（加收入且需签字版）,https://oic.ustc.edu.cn/download/%e8%8b%b1%e6%96%87%e6%b4%be%e9%81%a3%e4%b9%a6%ef%bc%88%e5%8a%a0%e6%94%b6%e5%85%a5%e4%b8%94%e9%9c%80%e7%ad%be%e5%ad%97%e7%89%88%ef%bc%89/,2021-09-10
中文派遣书模板（加收入且需签字版）,https://oic.ustc.edu.cn/download/%e4%b8%ad%e6%96%87%e6%b4%be%e9%81%a3%e4%b9%a6%ef%bc%88%e5%8a%a0%e6%94%b6%e5%85%a5%e4%b8%94%e9%9c%80%e7%ad%be%e5%ad%97%e7%89%88%ef%bc%89/,2021-09-10
英文派遣书模板,https://oic.ustc.edu.cn/download/%e8%8b%b1%e6%96%87%e6%b4%be%e9%81%a3%e4%b9%a6%e6%a8%a1%e6%9d%bf/,2021-09-10
中文派遣书模板,https://oic.ustc.edu.cn/download/%e4%b8%ad%e6%96%87%e6%b4%be%e9%81%a3%e4%b9%a6%e6%a8%a1%e6%9d%bf/,2021-09-10
中国科学技术大学参加线上国际会议事后公示总结表,https://oic.ustc.edu.cn/download/%e4%b8%ad%e5%9b%bd%e7%a7%91%e5%ad%a6%e6%8a%80%e6%9c%af%e5%a4%a7%e5%ad%a6%e5%8f%82%e5%8a%a0%e7%ba%bf%e4%b8%8a%e5%9b%bd%e9%99%85%e4%bc%9a%e8%ae%ae%e4%ba%8b%e5%90%8e%e5%85%ac%e5%bc%8f%e6%80%bb%e7%bb%93/,2021-07-22
中科院新一代ARP系统使用方法,https://oic.ustc.edu.cn/download/%e4%b8%ad%e7%a7%91%e9%99%a2%e6%96%b0%e4%b8%80%e4%bb%a3arp%e7%b3%bb%e7%bb%9f%e4%bd%bf%e7%94%a8%e6%96%b9%e6%b3%95/,2021-03-22
线上国际会议审批表,https://oic.ustc.edu.cn/download/10018-2/,2021-03-09
中国科学技术大学本科生公派赴台湾地区审批表,https://oic.ustc.edu.cn/download/%e6%9c%ac%e7%a7%91%e7%94%9f%e5%8f%82%e5%8a%a0%e5%a2%83%e5%a4%96%e5%ad%a6%e6%9c%af%e4%ba%a4%e6%b5%81%e5%ae%a1%e6%89%b9%e8%a1%a8-2/,2020-09-17
中国科学技术大学研究生公派赴台湾地区审批表(1),https://oic.ustc.edu.cn/download/%e7%a0%94%e7%a9%b6%e7%94%9f%e5%8f%82%e5%8a%a0%e5%a2%83%e5%a4%96%e5%ad%a6%e6%9c%af%e4%ba%a4%e6%b5%81%e5%ae%a1%e6%89%b9%e8%a1%a8-2/,2020-09-17
学生公派出国交流责任书,https://oic.ustc.edu.cn/download/%e5%ad%a6%e7%94%9f%e5%85%ac%e6%b4%be%e5%87%ba%e5%9b%bd%e4%ba%a4%e6%b5%81%e8%b4%a3%e4%bb%bb%e4%b9%a6-2/,2020-09-17
关于取消-更改出访交流时间的说明,https://oic.ustc.edu.cn/download/%e5%85%b3%e4%ba%8e%e5%8f%96%e6%b6%88-%e6%9b%b4%e6%94%b9%e5%87%ba%e8%ae%bf%e4%ba%a4%e6%b5%81%e6%97%b6%e9%97%b4%e7%9a%84%e8%af%b4%e6%98%8e-2/,2020-09-17
申请多次F签,https://oic.ustc.edu.cn/download/%e7%94%b3%e8%af%b7%e5%a4%9a%e6%ac%a1f%e7%ad%be/,2020-09-17
来校访问学者医疗保险承诺书,https://oic.ustc.edu.cn/download/%e6%9d%a5%e6%a0%a1%e8%ae%bf%e9%97%ae%e5%ad%a6%e8%80%85%e5%8c%bb%e7%96%97%e4%bf%9d%e9%99%a9%e6%89%bf%e8%af%ba%e4%b9%a6-2/,2020-09-17
申请Z签,https://oic.ustc.edu.cn/download/%e7%94%b3%e8%af%b7z%e7%ad%be/,2020-09-17
合同模板,https://oic.ustc.edu.cn/download/%e5%90%88%e5%90%8c%e6%a8%a1%e6%9d%bf/,2020-09-17
外国人体检表,https://oic.ustc.edu.cn/download/%e5%a4%96%e5%9b%bd%e4%ba%ba%e4%bd%93%e6%a3%80%e8%a1%a8/,2020-09-17
外国人信息表,https://oic.ustc.edu.cn/download/%e5%a4%96%e5%9b%bd%e4%ba%ba%e4%bf%a1%e6%81%af%e8%a1%a8/,2020-09-17
外国人住宿登记表,https://oic.ustc.edu.cn/download/%e5%a4%96%e5%9b%bd%e4%ba%ba%e4%bd%8f%e5%ae%bf%e7%99%bb%e8%ae%b0%e8%a1%a8/,2020-09-17
外国人签证证件申请表,https://oic.ustc.edu.cn/download/%e5%a4%96%e5%9b%bd%e4%ba%ba%e7%ad%be%e8%af%81%e8%af%81%e4%bb%b6%e7%94%b3%e8%af%b7%e8%a1%a8/,2020-09-17
免試招收台湾地区学生申請表,https://oic.ustc.edu.cn/download/%e5%85%8d%e8%a9%a6%e6%8b%9b%e6%94%b6%e5%8f%b0%e6%b9%be%e5%9c%b0%e5%8c%ba%e5%ad%a6%e7%94%9f%e7%94%b3%e8%ab%8b%e8%a1%a8/,2020-09-17
申请外国人工作许可证需准备的材料,https://oic.ustc.edu.cn/download/%e7%94%b3%e8%af%b7%e5%a4%96%e5%9b%bd%e4%ba%ba%e5%b7%a5%e4%bd%9c%e8%ae%b8%e5%8f%af%e8%af%81%e9%9c%80%e5%87%86%e5%a4%87%e7%9a%84%e6%9d%90%e6%96%99/,2020-09-17
申请外国人居留许可证件需准备的材料 网页,https://oic.ustc.edu.cn/download/%e7%94%b3%e8%af%b7%e5%a4%96%e5%9b%bd%e4%ba%ba%e5%b1%85%e7%95%99%e8%ae%b8%e5%8f%af%e8%af%81%e4%bb%b6%e9%9c%80%e5%87%86%e5%a4%87%e7%9a%84%e6%9d%90%e6%96%99-%e7%bd%91%e9%a1%b5/,2020-09-17
外国人签证证件申请表填写指南 网页指南,https://oic.ustc.edu.cn/download/%e5%a4%96%e5%9b%bd%e4%ba%ba%e7%ad%be%e8%af%81%e8%af%81%e4%bb%b6%e7%94%b3%e8%af%b7%e8%a1%a8%e5%a1%ab%e5%86%99%e6%8c%87%e5%8d%97-%e7%bd%91%e9%a1%b5%e6%8c%87%e5%8d%97/,2020-09-17
无违法犯罪记录保证书,https://oic.ustc.edu.cn/download/%e6%97%a0%e8%bf%9d%e6%b3%95%e7%8a%af%e7%bd%aa%e8%ae%b0%e5%bd%95%e4%bf%9d%e8%af%81%e4%b9%a6/,2020-09-17
本科入学申请表,https://oic.ustc.edu.cn/download/%e6%9c%ac%e7%a7%91%e5%85%a5%e5%ad%a6%e7%94%b3%e8%af%b7%e8%a1%a8/,2020-09-17
本科招生专业目录,https://oic.ustc.edu.cn/download/%e6%9c%ac%e7%a7%91%e6%8b%9b%e7%94%9f%e4%b8%93%e4%b8%9a%e7%9b%ae%e5%bd%95/,2020-09-17
